COD. ESTACAO,NOME DO RIO,NIVEL,VAZAO,CHUVA,DATA/HORA
66945000,Rio Aquidauana,259,68.51,0,Thu Apr 07 2022 10:15:00 GMT-0400 (GMT-04:00)
66945000,Rio Aquidauana,258,67.9,0,Thu Apr 07 2022 10:00:00 GMT-0400 (GMT-04:00)
66945000,Rio Aquidauana,258,67.9,0,Thu Apr 07 2022 09:45:00 GMT-0400 (GMT-04:00)
66945000,Rio Aquidauana,258,67.9,0,Thu Apr 07 2022 09:30:00 GMT-0400 (GMT-04:00)
66945000,Rio Aquidauana,258,67.9,0,Thu Apr 07 2022 09:15:00 GMT-0400 (GMT-04:00)
66945000,Rio Aquidauana,258,67.9,0,Thu Apr 07 2022 09:00:00 GMT-0400 (GMT-04:00)
66945000,Rio Aquidauana,258,67.9,0,Thu Apr 07 2022 08:45:00 GMT-0400 (GMT-04:00)
66945000,Rio Aquidauana,258,67.9,0,Thu Apr 07 2022 08:30:00 GMT-0400 (GMT-04:00)
66945000,Rio Aquidauana,258,67.9,0,Thu Apr 07 2022 08:15:00 GMT-0400 (GMT-04:00)
66945000,Rio Aquidauana,257,67.29,0,Thu Apr 07 2022 08:00:00 GMT-0400 (GMT-04:00)
66945000,Rio Aquidauana,257,67.29,0,Thu Apr 07 2022 07:45:00 GMT-0400 (GMT-04:00)
66945000,Rio Aquidauana,257,67.29,0,Thu Apr 07 2022 07:30:00 GMT-0400 (GMT-04:00)
66945000,Rio Aquidauana,257,67.29,0,Thu Apr 07 2022 07:15:00 GMT-0400 (GMT-04:00)
66945000,Rio Aquidauana,257,67.29,0,Thu Apr 07 2022 07:00:00 GMT-0400 (GMT-04:00)
66945000,Rio Aquidauana,257,67.29,0,Thu Apr 07 2022 06:45:00 GMT-0400 (GMT-04:00)
66945000,Rio Aquidauana,257,67.29,0,Thu Apr 07 2022 06:30:00 GMT-0400 (GMT-04:00)
66945000,Rio Aquidauana,257,67.29,0,Thu Apr 07 2022 06:15:00 GMT-0400 (GMT-04:00)
66945000,Rio Aquidauana,257,67.29,0,Thu Apr 07 2022 06:00:00 GMT-0400 (GMT-04:00)
66945000,Rio Aquidauana,256,66.69,0,Thu Apr 07 2022 05:45:00 GMT-0400 (GMT-04:00)
66945000,Rio Aquidauana,256,66.69,0,Thu Apr 07 2022 05:30:00 GMT-0400 (GMT-04:00)
66945000,Rio Aquidauana,256,66.69,0,Thu Apr 07 2022 05:15:00 GMT-0400 (GMT-04:00)
66945000,Rio Aquidauana,256,66.69,0,Thu Apr 07 2022 05:00:00 GMT-0400 (GMT-04:00)
66945000,Rio Aquidauana,256,66.69,0,Thu Apr 07 2022 04:45:00 GMT-0400 (GMT-04:00)
66945000,Rio Aquidauana,256,66.69,0,Thu Apr 07 2022 04:30:00 GMT-0400 (GMT-04:00)
66945000,Rio Aquidauana,256,66.69,0,Thu Apr 07 2022 04:15:00 GMT-0400 (GMT-04:00)
66945000,Rio Aquidauana,256,66.69,0,Thu Apr 07 2022 04:00:00 GMT-0400 (GMT-04:00)
66945000,Rio Aquidauana,256,66.69,0,Thu Apr 07 2022 03:45:00 GMT-0400 (GMT-04:00)
66945000,Rio Aquidauana,256,66.69,0,Thu Apr 07 2022 03:30:00 GMT-0400 (GMT-04:00)
66945000,Rio Aquidauana,255,66.08,0,Thu Apr 07 2022 03:15:00 GMT-0400 (GMT-04:00)
66945000,Rio Aquidauana,255,66.08,0,Thu Apr 07 2022 03:00:00 GMT-0400 (GMT-04:00)
66945000,Rio Aquidauana,255,66.08,0,Thu Apr 07 2022 02:45:00 GMT-0400 (GMT-04:00)
66945000,Rio Aquidauana,255,66.08,0,Thu Apr 07 2022 02:30:00 GMT-0400 (GMT-04:00)
66945000,Rio Aquidauana,255,66.08,0,Thu Apr 07 2022 02:15:00 GMT-0400 (GMT-04:00)
66945000,Rio Aquidauana,255,66.08,0,Thu Apr 07 2022 02:00:00 GMT-0400 (GMT-04:00)
66945000,Rio Aquidauana,255,66.08,0,Thu Apr 07 2022 01:45:00 GMT-0400 (GMT-04:00)
66945000,Rio Aquidauana,254,65.48,0,Thu Apr 07 2022 01:30:00 GMT-0400 (GMT-04:00)
66945000,Rio Aquidauana,254,65.48,0,Thu Apr 07 2022 01:15:00 GMT-0400 (GMT-04:00)
